code,name
CCS,College of Computer Science
CSM,College of Science and Mathematics
COE,College of Engineering and Technology 
CHS,College of Health Sciences
CEBA,College of Business Administration and Accountancy
CED,College of Education
CASS,College of Arts and Science
srgw,jrh
